datetime,open,high,low,close,volume,trades
1640793600,47984.1,48003.2,47630.3,47715.8,7.82780497,119
1640797200,47714.9,47724.3,47532.6,47573.4,4.30607928,107
1640800800,47552.9,47732.7,47412.2,47536.6,5.17906552,116
1640804400,47532.1,47546.1,47049.9,47144.7,3.22447191,126
1640808000,47115.5,47716.8,47098.4,47397.7,6.47070188,132
1640811600,47399.7,47399.7,47103.6,47189.9,4.74496082,103
1640815200,47194.6,47473.3,47110.8,47274.3,2.18805969,88
1640818800,47267.6,47346.2,46143.7,46445.6,24.54771147,480
1640822400,46445.7,46872.1,45992.0,46625.2,14.12207584,276
1640826000,46694.0,46714.1,46471.0,46597.3,6.12250386,78
1640829600,46597.3,46597.3,46277.6,46538.3,2.3354941,51
1640833200,46638.6,46692.7,46493.0,46493.0,0.74330606,34
1640836800,46525.7,46901.7,46525.7,46740.1,1.08258691,36
1640840400,46703.9,46798.3,46617.2,46765.0,0.95533583,30
1640844000,46754.1,46930.9,46710.6,46926.6,3.04795905,50
1640847600,46888.7,47073.3,46885.9,46995.9,0.89777634,95
1640851200,47043.1,47128.1,46788.2,46792.7,1.86926704,83
1640854800,46833.9,46992.8,46758.2,46780.8,14.33870445,131
1640858400,46778.8,46959.8,46739.2,46954.2,4.24963162,84
1640862000,46958.7,47550.1,46920.8,47537.1,3.7990376,131
1640865600,47484.6,47704.8,47414.5,47570.0,16.81909397,132
1640869200,47543.7,47543.7,47324.2,47324.2,22.70389329,166
1640872800,47324.2,47429.7,47209.7,47344.4,15.45402824,158
1640876400,47351.2,47494.1,47178.4,47178.4,6.78584501,108
1640880000,47184.2,47620.0,47140.2,47607.2,3.80435069,105
1640883600,47599.9,47774.1,47488.4,47653.7,6.6991271,112
1640887200,47630.2,47880.6,47522.5,47868.2,3.40547352,100
1640890800,47851.9,47880.6,47555.6,47580.3,6.11160995,95
1640894400,47553.9,47679.7,47132.7,47195.8,2.47022691,101
1640898000,47203.7,47330.0,46980.2,47246.3,10.05372786,171
1640901600,47296.4,47296.4,46760.1,47054.5,4.76303525,109
1640905200,47095.8,47200.0,46958.9,47116.4,4.01999496,56
1640908800,47120.0,47385.4,46893.5,47093.1,1.02990989,94
1640912400,47043.2,47303.8,46885.0,47170.1,2.78587136,55
1640916000,47113.3,47113.3,46871.9,46981.8,1.73728109,36
1640919600,46956.7,47243.8,46956.7,47243.7,2.05726416,37
1640923200,47214.4,47440.7,47214.4,47380.4,0.99103516,38
1640926800,47373.9,47376.7,47244.6,47329.8,0.7581288,25
1640930400,47319.9,47503.9,47196.0,47418.5,0.14895578,34
1640934000,47408.9,47408.9,46863.2,47117.6,5.73716975,85
1640937600,47100.0,48493.7,47100.0,48405.0,26.54372301,362
1640941200,48466.2,48558.8,48271.4,48303.6,15.22651584,156
1640944800,48303.7,48438.5,47969.0,48016.7,18.49808283,157
1640948400,48031.8,48193.6,47950.4,47950.4,16.11182008,107
1640952000,47986.7,48091.8,47856.0,47922.7,4.33511758,82
1640955600,47963.3,48063.8,47919.9,47923.5,2.25663715,58
1640959200,47916.3,48099.9,47858.5,48042.2,1.9758355,77
1640962800,48027.2,48078.2,47862.9,47940.7,4.31876178,80
1640966400,47937.8,48099.9,47475.0,47475.0,5.95247079,120
1640970000,47475.0,47548.3,46919.1,46995.8,4.68816738,161
1640973600,46979.7,46995.9,46512.0,46698.3,9.71971573,137
1640977200,46631.0,46674.5,45725.0,45725.0,17.47298996,343
1640980800,45715.5,46200.7,45680.0,45885.0,18.15265118,179
1640984400,45909.8,46486.4,45800.0,46327.0,4.54735439,154
1640988000,46338.1,46541.5,46266.4,46306.6,6.03187235,105
1640991600,46356.7,46466.8,46200.9,46213.2,3.8304833,62
1640995200,46214.4,46710.0,46214.4,46671.3,8.69233195,139
1640998800,46658.1,46900.3,46556.4,46770.6,10.66466515,109
1641002400,46801.7,46857.9,46740.9,46779.6,2.20268161,41
1641006000,46800.9,46878.8,46769.1,46851.1,0.36110389,30
1641009600,46851.1,46851.1,46649.1,46727.7,9.62310459,105
